Course,Professor,PostDate,ReviewContent
财经英语时文阅读,敖玉兰,05-25 11:37,敖老师！！！可以是温和耐心的妈妈，也可以是幽默风趣的朋友！！！上课特别特别认真，如果想好好学习，想学到东西就一定要选她！！！分数的活，我算是挺认真的两个学期的平时分都超过95。不过选了她就不要抱怨她布置作业、小测和pre略，老师是真的为学生好！
财经英语时文阅读,敖玉兰,05-25 11:37,敖玉兰，她真的巨温柔巨好，只要你认真学多回答问题她就会给你平时分接近打满。虽然上她的课会有一点点累，但是学到的东西完全值得，会带着你做六级题练口语练雅思写作，真的人特别好，谁不选她我会哭死
财经英语时文阅读,敖玉兰,05-25 11:37,敖玉兰老师人特别好，不仅上课认真负责，课后有问题问她她也特别热心回答，特别好的一个老师，给分也很高会捞
财经英语时文阅读,敖玉兰,05-25 11:37,上过敖老师的英语精读，只要按时交作业上课的给分就很高，老师人也比较温柔有趣
程序设计及应用 (Python),郭黎明,05-25 11:35,老师很负责耐心 讲的也很细 平时分高
程序设计及应用 (Python),郭黎明,05-25 11:35,老师年龄比较大了，但是人还不错，顺便借楼出书
程序设计及应用 (Python),郭黎明,05-25 11:35,我之前不到要捞的程度，平时也蛮认真的，他平时分给的就真的不高
财经英语时文阅读,胡莎,05-25 11:37,小测考单独考词汇的都是选择，但是后面有几个短语的汉译英
财经英语时文阅读,胡莎,05-25 11:37,momo是上的胡莎老师的英语精读，她讲的干货挺多的，认真学习会有收获
财经英语时文阅读,胡莎,05-25 11:37,胡莎老师很公正 属于很认真对学生的那种 真的在大学里挺少见的
财经英语时文阅读,胡莎,05-25 11:37,上过她的英语精读，老师人很好的，而且事情作业也也很少
财经英语时文阅读,胡莎,05-25 11:37,英语阅读两个学期都选胡莎，两个学期都上9⃣️
财经英语时文阅读,胡莎,05-25 11:37,老师人特别好，讲课也很好，会记得每一个学生
财经英语时文阅读,荣零轩,05-25 11:37,课上讲，有时候会抽一些人上去给她看，最好课后按时做作业发友
程序设计与科学计算,戴明伟,05-25 11:31,人不错，课不行（程序设计）
大学生心理健康与人生发展,孔丽娟,05-25 11:30,还行吧，就是事儿挺多的，个人感觉
大学生心理健康与人生发展,孔丽娟,05-25 11:30,她居然也能上心理课...
大学生心理健康与人生发展,黄巍,05-25 11:30,大心理都是开卷考啊 平时事情也不多 很有意思
大学生心理健康与人生发展,黄巍,05-25 11:30,hw！！！！超级无敌搞笑！！人很好
程序设计及应用 (Python),陈蓓,05-25 11:33,她很好的 平时分挺高人有耐心上课也讲的很仔细
程序设计及应用 (Python),陈蓓,05-25 11:33,就是上课用机房的电脑考试，可以偷偷用手机搜，因为电脑挡着的，老师应该看不到
程序设计及应用 (Python) (英),马丹,05-25 11:32,md捞人有一两次点名但上课讲的可能没什么经验
程序设计及应用 (Python),陈德伟,05-25 11:32,你平时作业好好做，他期末基本上都考原题的
程序设计及应用 (Python),陈德伟,05-25 11:32,有人说很好，有人说很玄😒
程序设计与python应用,马丹,05-25 11:32,我听不懂 靠自学
程序设计与python应用,马丹,05-25 11:32,马丹讲的细，ppt也很全
程序设计及应用 (Python),李瑾坤,05-25 11:35,老师上课会下来指导纠错，很有耐心，迟到上课摸鱼也不会生气，比较温和
程序设计及应用 (Python),叶淋宁,05-25 11:34,老师不点名 没有期中考试完成平时作业即可
程序设计与python应用,彭博,05-25 11:31,很OK 推荐
大学生心理健康与人生发展,李文,05-25 11:26,事是真的多，平时作业啥的都不讲清楚，上课也很尬
大学生职业生涯规划与创业基础,买尔旦·阿木提,05-25 11:15,老师很有趣，给分和表现很挂钩，需要发言什么的
大学生职业生涯规划与创业基础,王芳,05-25 11:17,王芳事有点多，给分还可以
大学生心理健康与人生发展,刘亚琨,05-25 11:28,有意思，但活动多，社恐不建议😂
大学生心理健康与人生发展,刘亚琨,05-25 11:28,很有意思的老师 但是每节课会花式点名 有可能
大学生职业生涯规划与创业基础,骆岭/李昕怡,05-25 11:16,挺好的
大学生心理健康与人生发展,苟洪英,05-25 11:28,老师上课会强调不许玩手机，给分还行。
大学生心理健康与人生发展,郑敏思,05-25 11:27,郑老师人很好，会有一两次小作业，都是课上完成，最后给分很高
程序设计及应用 (Python),张英,05-25 11:35,特别好 讲的好 给分也好
程序设计及应用 (Python),张英,05-25 11:35,讲的很好，考前一周会通知你下周要考勤❤️❤️❤️
程序设计及应用 (Python),张英,05-25 11:35,讲的很好😤老师很责任，就是稍微作业有点多🌹
程序设计及应用 (Python),张英,05-25 11:35,讲的特别好 很细节🌞
大学生职业生涯规划与创业基础,杨凌峰,05-25 11:15,老师不是很严 完成正常教学作业就行
大学生职业生涯规划与创业基础,杨凌峰,05-25 11:15,反正他大职规不严
大学生职业生涯规划与创业基础,徐淼,05-25 11:15,狠狠壁垒大职规徐淼，事多 分超低
大学生职业生涯规划与创业基础,秦怡,05-25 11:14,不多 只有一次小组展示 偶尔会提问(一般只找坐最后几排的人回答) 结课有小礼物 给分还不知道
大学生职业生涯规划与创业基础,秦怡,05-25 11:14,职规的秦怡老师平时事情少，从来不点名，给平时分高！
高等代数II,杜彬彬,05-25 11:07,老师人特别好，讲课特别清晰，基本上跟着上课考试就没什么问题，平时答疑啥的都很认真，期末捞人更是不用说，平时分不用愁，选上dbb你就乐吧
高等代数II (理科),赵建容,05-25 11:07,zsk挺好的 就是讲话语速稍微有点快
大学生职业生涯规划与创业基础,任平,05-25 11:14,任平老师人非常好，不点名，但不能迟到
大学生职业生涯规划与创业基础,李思雨,05-25 11:13,一般是自己举手回答 实在没人才会抽 抽人概率不是很高 给分的话只要你好好完成任务不会很差
大学生职业生涯规划与创业基础,李思雨,05-25 11:13,人很好嘟 美女老师 就是上课活动有点多
大学生职业生涯规划与创业基础,刘余,05-25 11:12,刘老师特别帅！🥰上课花样多，很开心，氛围好，会考虑学生的情绪。实用性的技能也很多的。
大学生职业生涯规划与创业基础,王慧/刘坤,05-25 11:14,刘坤老师事少分还高🥰
大学生职业生涯规划与创业基础,陈毅/张琪,05-25 11:15,我是她这学期课代表，反正人很好也没那么多事
大学生职业生涯规划与创业基础,罗谟诺/周瑞,05-25 11:14,有趣，但点名比较频繁感觉每节课都点，可能有两次pre
多元微积分,张文燕,05-25 11:12,老师讲得挺细，考试炒鸡捞人，好，冲就完了
沟通与写作,张钧涵,05-25 11:01,老师人很好，只是课程本身事情比较多，但不用考试
高等数学II,余喜生,05-25 11:04,平时接近满分
高等数学II,余喜生,05-25 11:04,老师人很好，很负责
高等数学II,王磊,05-25 11:06,王老师讲课思路清晰，方法总结很到位，看着面相好像很严肃，但实际很和蔼可亲🥰比较推荐
高等数学II,王磊,05-25 11:06,王老师讲课思路特别清晰，板书也很明了，对做数学笔记非常有帮助。在每上完一章节之后会给大家进行章节总结。总之是一个很负责讲得也特别好的老师🤗🤗推荐推荐🌹🌹
高等数学II,李楠,05-25 11:04,会尽量捞到及格
高等数学II,李楠,05-25 11:04,李老师，讲的挺好的，会讲习题，上课还会分享日常，就是平时分要求上黑板写三次才能拿满，一次不去就只有60（课堂表现部分哈），会给很多机会，题也不难的
高等数学II,王开弘,05-25 11:02,会捞人的！王老师人超好😭
高等数学II,王开弘,05-25 11:02,老师很好
高等数学II,王开弘,05-25 11:02,老师很好转：老师很好
高等数学II,李凤英,05-25 11:02,英子姐很可爱人很好！上课很负责滴！人好分高海底捞
高等数学II,李凤英,05-25 11:02,上过lfy其他课，人巨好!!!讲课也很好!!!
高等数学II,李凤英,05-25 11:02,给分很OK，平时分甚至会会打满
高等数学II,林一丁,05-25 11:03,老师人很好，还会给我们讲保研之类的消息，平时分不会低于期末分，无脑冲！
高等数学II,林一丁,05-25 11:03,真的特别好，平易近人是最大特点，特别喜欢回答问题，尤其是会主动让同学们问问题，从不厌烦，而且根本就不挂人
高等数学II,张清邦,05-25 11:05,会捞，而且期末考的相对好的话，平时成绩会给你拉满
高等数学II,刘彩平,05-25 11:06,老师讲的很详细 也有ppt很温柔给分也还好🌹
高级英语,刘军,05-25 11:02,事多给分贼低，全年级最高分91
高级英语,刘军,05-25 11:02,他不抽或者说很少，这才是最恐怖的，因为他要你主动上去发言_不然给你70来平时分，当然，发言了的可能也不高，不发更低
宏观经济学,李雪莲,05-25 10:56,我觉得她上课上的很好哇 条理特别清晰
宏观经济学,戴薇,05-25 10:57,戴薇老师的风格就是：很认真，包括讲解答疑都很全面细致，认真听作业认真做这门课很简单，平时分构成就是平时作业➕期中考试 她平时作业发在学习通上（作业不难，但我个人觉得她批的有些严了）不知道最后给分怎么样，但是整体来说这个老师很温柔，讲解也很到位。
宏观经济学,戴薇,05-25 10:57,戴薇真的好人，讲的好又很细心很温柔，每节课还会发自己整理的笔记和ppt
宏观经济学,杨慧玲,05-25 10:56,我觉得这个老师还好，认真做作业，中期考试好好准备，平时分挺高的
宏观经济学,郭军杰,05-25 10:57,好，真好，推荐，平时分给很高，而且课堂也很融洽，没作业，就是一学期三次考试，考试是在课上进行的，而且这学期时间不够，有一次就当成作业做了，无论你考得好考得差的话，只要你上课签名到了，期末的平时分老师都会捞的，给的高。上课。会给你讲重难点，我这次考试的一道计算题，他就特别着重的讲了，当时他在班上讲完了，后面还专门图片发到了群里，然后就复习了他讲的那三张图片，那道题期末就考到了，很不错的年轻老师
宏观经济学,郭军杰,05-25 10:57,我目前感觉很不错啊，讲得很细，也挺幽默的
国学导论,崔雪茹,05-25 10:59,挺好的，会有课堂考勤，期中论文，但是老师人很好，很热心的一个老师，有问必答
宏观经济学,邹红,05-25 10:58,邹老师是教授，会带着讲一下中级的东西
宏观经济学,邹红,05-25 10:58,老师讲课内容很丰富，资历很深，对学生很有耐心
宏观经济学,王子奇,05-25 10:57,我是她这学期课代表，反正人很好也没那么多事
宏观经济学,张晓舸,05-25 10:58,考选择 判断 填空 大题，考多少就在期末成绩占比多少
宏观经济学,张晓舸,05-25 10:58,平时分按四五次作业外加一次学习通开卷期中考试，一次小组作业 拿分全凭本事 但是作业找不到答案 AI也不是很靠谱...
国际商务谈判,郭静思,05-25 10:59,不点名无课后作业，上课氛围特别好，老师特别温柔英式口音巨巨巨标准，会有两到三次谈判模拟但是基本都是打打草稿说两句就好了，不会有太大要求，最重要的是期末无考试！！！只用交一份谈判方案就好（要求啥的全都很详细的给出来，可以用ai梳理思路，了解谈判流程就能写）
沟通与写作,张馨月,05-25 11:01,老师人蛮好的，课不难 就是写论文
会计学,杨奕楠,05-25 10:50,我上的会计学 老师人美心善
会计学,杨奕楠,05-25 10:50,杨奕楠讲得很好
会计学,杨奕楠,05-25 10:50,上过杨的，老师讲得很细致，有时候会给放一些当下金融方面的热点视频，体感还不错
会计学,杨奕楠,05-25 10:50,他会捞人！她超好！！我上学期平时分98.5🦉🦉
会计学,李朝霞,05-25 10:52,本人觉得讲的不是很能理解 有点难受且有期中考还挺难😩
会计学,曹昱,05-25 10:51,分高事少，讲课很好
会计学,曹昱,05-25 10:51,貌似没有点名，她人很好
会计学,华晨,05-25 10:50,高的挺高，低的也挺低
会计学,华晨,05-25 10:50,华晨长得帅，但讲的中规中矩，给分还可以可以
会计学,邓博夫,05-25 10:52,很好的老师 没有期中考 不点名 要求低 讲得好
宏观经济学 (双语),姚星/王博,05-25 10:54,身边朋友都说王博教得好且给分很高，人也很好
宏观经济学 (英),栾梦娜,05-25 10:54,不点名
宏观经济学,杨海涛,05-25 10:55,杨老师很好的，他平时分还好啊，没回答问题的话期末还有个写小论文加分的机会，觉得自己平时分够了也可以不写
宏观经济学,杨海涛,05-25 10:55,上课很开心，考试就哭了。如果你自学能力很强可以选，上课听他讲故事也开心，考试也考的好
宏观经济学,杨海涛,05-25 10:55,他就是上课讲故事，和考试不怎么挂钩，所以你做不来题，考试很痛苦
宏观经济学,黄俊兵/栾炳江,05-25 10:56,栾老师讲课速度略快，需要专心听才跟得上，课下解答问题特别认真，老师人也很好；黄老师讲课通俗易懂，下课也很负责。两位老师给分高，两次点名
宏观经济学,杨海洋,05-25 10:56,个人觉得还不错，我那个时候没有期中，也几乎没有作业，还46开。老师人挺好，上课是全板书，不会点名。
宏观经济学,杨海洋,05-25 10:56,强推！真的很不错！！
宏观经济学,杨海洋,05-25 10:56,杨海洋老师会做pre 自己平时6期末4（和其他所有老师应该都不一样）所以一般不会挂 但平时分给的不高 冲高分的别选 捞个及格的
基础英语II,李琳,05-25 10:47,挺好的
计算机与大数据基础,周亚晶,05-25 10:47,她这学期教概念论，讲课特别无聊，我根本听不懂，但不知道给分怎么样
军事理论,迪丽尼格尔·艾力,05-25 10:46,人很好
会计学原理,曹昱,05-25 10:48,曹老师很棒！给分特别好！上她的课你真的能掌握一些会计的知识！
会计学原理,冯建,05-25 10:49,给分一般
会计学原理,曾昌礼,05-25 10:49,非常好！给分高基本不点名
会计学原理,李海燕,05-25 10:50,其实我觉得她也没那么不好，我个人是可以接受的，就是有时候上课点人回答问题让我心惊胆颤
会计学,李海燕,05-25 10:50,我记得她会按照名单抽人回答问题，大概每节课两三个这样子
会计学,李海燕,05-25 10:50,讲的可以吧，给分也还行，很负责的
会计学,李海燕,05-25 10:50,的确很认真负责，但我们当时大多数人都觉得她讲的不太好😂😂😂平时分也普遍比较低
会计学,金雅玲,05-25 10:50,金老师是新老师，人很好
会计学,金雅玲,05-25 10:50,金老师平时分很高......讲课没那么好......但是很细
会计学,金雅玲,05-25 10:50,超级好的 平时分100/99
会计学原理,黄健,05-25 10:48,如果是那个黄老师的话，平时分拉满，回答问题特别耐心，开头还会和**呼：xx同学，讲课特别幽默，我个人很喜欢他！🥰🥰
会计学原理,黄健,05-25 10:48,xx同学晚上好～这样
概率论与数理统计A,王宁,05-25 11:13,王宁老师人很好，讲课也比较清晰，捞捞
概率论与数理统计A,王宁,05-25 11:13,补充，考试很简单
概率论与数理统计A,李红,05-25 11:13,李红老师人很好很温柔，捞捞，讲课也能听懂
概率论与数理统计A,李红,05-25 11:14,会计的概率论都挺好过的，老师们都很好
概率论与数理统计A,张建,05-25 11:14,张建老师讲课讲得很好，人也很好，捞捞，推荐
税法,王文,05-25 10:59,王文老师人很好，每节课都点名，但其实回答问题就可以补上，期末论文
管理学,王海杰,05-25 10:49,捞，人很好，上课会互动，回答问题有加分
管理学,付海亮,05-25 10:48,讲课有点东西，但给分一般
管理学,王丽,05-25 10:49,王丽老师人很好，给分也很好，超级推荐
金融学,应展宇,05-25 11:10,yzy我的神
金融学,应展宇,05-25 11:11,别选，会变得不幸
金融学,顾弦,05-25 11:10,顾弦老师人超好，捞捞，讲课也很有意思
金融学,杨柳,05-25 11:10,杨柳老师很不错，捞捞
金融学,杨柳,05-25 11:10,yl老师人很好，内容很充实，平时分给的很高
金融学,吴卫星,05-25 11:11,卫星老师yyds，讲得好给分也好
金融学,吴卫星,05-25 11:11,他甚至会提前和你商量怎么给分，平时分和期末考怎么样的比例对我们最好
投资学,张雪莹,05-25 10:47,张雪莹老师人很好，很温柔，会捞人
投资学,张桥云,05-25 10:47,张桥云老师人很好，给分也很好
投资学,初众,05-25 10:47,初老师人很好，讲课很有水平
微观经济学,杨瑞龙,05-25 11:04,杨瑞龙老师人很好，讲课也很好，捞
微观经济学,徐晓横,05-25 11:05,徐晓横老师人很好，给分也很好
微观经济学,郑岩,05-25 11:05,郑岩老师yyds
微观经济学,孙咏,05-25 11:05,孙咏老师人很好，给分也很好
微观经济学,范志勇,05-25 11:06,范老师很萌，课讲得很好，就是有点难
